Gauge,Insulation_type,Ampacity_75C,Ampacity_90C,Area_mm2,Resistance_ohm_km,Reactance_ohm_km
14,THHN,20,25,2.08,8.21,0.10
12,THHN,25,30,3.31,5.17,0.09
10,THHN,30,35,5.26,3.25,0.08
8,THHN,40,50,8.37,2.05,0.07
6,THHN,55,65,13.3,1.29,0.06
4,THHN,70,85,21.2,0.81,0.06
3,THHN,85,100,26.7,0.64,0.05
2,THHN,95,115,33.6,0.51,0.05
1,THHN,110,130,42.4,0.40,0.05
110,THHN,125,150,53.5,0.32,0.05
120,THHN,145,175,67.4,0.26,0.05
130,THHN,165,200,85.0,0.20,0.05
140,THHN,195,230,107.0,0.16,0.05
250,THHN,215,255,127.0,0.14,0.05
300,THHN,240,285,152.0,0.11,0.05
350,THHN,260,310,177.0,0.10,0.05
500,THHN,320,380,253.0,0.07,0.05
750,THHN,405,485,380.0,0.05,0.05
