ConduitType,NominalDiameterInches,InternalAreaMM2
EMT,0.5,134.19
EMT,0.75,251.61
EMT,1.0,412.9
EMT,1.25,722.58
EMT,1.5,1083.87
EMT,2.0,1883.87
EMT,2.5,2961.29
EMT,3.0,4212.9
EMT,3.5,5658.05
EMT,4.0,7354.82
RMC,0.5,145.16
RMC,0.75,263.87
RMC,1.0,424.51
RMC,1.25,735.48
RMC,1.5,1102.58
RMC,2.0,1922.58
RMC,2.5,3012.9
RMC,3.0,4322.57
RMC,3.5,5793.53
RMC,4.0,7535.46
PVC,0.5,135.48
PVC,0.75,255.48
PVC,1.0,420.64
PVC,1.25,734.19
PVC,1.5,1099.99
PVC,2.0,1917.41
PVC,2.5,2997.41
PVC,3.0,4284.51
PVC,3.5,5748.37
PVC,4.0,7465.15
