Gauge,Insulation_type,Ampacity_75C,Ampacity_90C,Area_mm2,Resistance_ohm_km,Reactance_ohm_km
14,THHN,20,25,2.08,10.2,0.24
12,THHN,25,30,3.31,6.6,0.223
10,THHN,35,40,5.26,3.9,0.207
8,THHN,50,55,8.36,2.56,0.213
6,THHN,65,75,13.3,1.61,0.21
4,THHN,85,95,21.15,1.02,0.197
3,THHN,100,115,26.67,0.82,0.194
2,THHN,115,130,33.62,0.66,0.187
1,THHN,130,145,42.41,0.52,0.187
110,THHN,150,170,53.49,0.39,0.187
120,THHN,175,195,67.43,0.33,0.177
130,THHN,200,225,85.01,0.259,0.171
140,THHN,230,260,107.2,0.207,0.167
250,THHN,255,290,127.0,0.177,0.171
300,THHN,285,320,152.0,0.148,0.167
350,THHN,310,350,177.0,0.128,0.164
500,THHN,380,430,253.0,0.095,0.157
750,THHN,475,535,380.0,0.069,0.157
